age,education,outside_self,condition2,employed_now,college_deg,children,outside_wedge,age_groups
26,6,1,1,1,1,3,-4.79310417175293,2
24,6,1,0,1,1,2,-6.79310417175293,2
29,6,1,0,1,1,8,-2.7931041717529297,2
20,5,1,1,1,0,3,-14.79310417175293,1
27,6,1,0,1,1,1,4.20689582824707,2
27,5,1,0,1,0,0,6.20689582824707,2
28,6,1,0,1,1,2,-2.7931041717529297,2
31,7,1,1,1,1,2,6.20689582824707,3
32,6,1,1,1,1,4,0.2068958282470703,3
32,6,1,1,1,1,4,2.2068958282470703,3
25,5,0,1,1,0,4,-9.79310417175293,2
27,6,0,0,1,1,2,-20.79310417175293,2
25,6,1,1,1,1,2,3.2068958282470703,2
30,6,1,1,1,1,2,2.2068958282470703,3
35,7,1,1,1,1,3,5.20689582824707,3
28,5,1,1,1,0,1,-12.79310417175293,2
23,6,1,0,1,1,1,6.20689582824707,1
28,6,1,0,1,1,2,-12.79310417175293,2
30,7,1,1,1,1,3,6.20689582824707,3
25,6,1,1,1,1,2,2.2068958282470703,2
25,5,1,0,1,0,4,6.20689582824707,2
25,6,1,1,1,1,0,-11.79310417175293,2
27,5,0,0,1,0,2,-16.79310417175293,2
20,6,1,0,1,1,2,6.20689582824707,1
25,6,1,0,1,1,0,-12.79310417175293,2
29,6,0,0,1,1,4,-14.79310417175293,2
26,6,1,1,1,1,2,2.2068958282470703,2
27,6,1,0,0,1,0,-5.714286804199219,2
25,6,1,1,1,1,1,4.285713195800781,2
23,6,1,0,1,1,0,4.285713195800781,1
27,6,1,0,1,1,2,-9.714286804199219,2
22,6,1,1,1,1,2,4.285713195800781,1
21,5,0,1,1,0,1,-23.71428680419922,1
20,5,1,0,1,0,1,4.285713195800781,1
26,5,1,0,1,0,1,-15.714286804199219,2
27,6,1,0,1,1,1,-4.714286804199219,2
21,6,1,1,1,1,4,-11.714286804199219,1
22,5,1,0,0,0,1,-11.714286804199219,1
32,6,1,1,1,1,4,-17.71428680419922,3
23,6,1,0,1,1,0,-13.714286804199219,1
20,6,1,1,1,1,1,-10.714286804199219,1
23,6,1,1,1,1,0,-10.714286804199219,1
22,5,0,1,0,0,2,-23.71428680419922,1
22,5,1,1,1,0,2,-14.714286804199219,1
20,5,0,0,0,0,0,-0.71428680419921875,1
20,6,1,1,1,1,3,-4.714286804199219,1
33,7,1,0,1,1,4,-21.71428680419922,3
22,5,1,1,1,0,3,2.2857131958007813,1
23,5,1,0,1,0,1,-4.714286804199219,1
24,6,1,0,1,1,2,-6.714286804199219,2
33,7,1,1,1,1,6,-10.714286804199219,3
27,6,1,1,1,1,1,-15.714286804199219,2
21,6,1,1,1,1,4,-4.714286804199219,1
20,6,1,1,0,1,3,-21.71428680419922,1
21,6,0,1,0,1,3,3.2857131958007813,1
33,7,1,0,1,1,3,4,3
26,6,1,0,1,1,1,-3,2
31,7,1,1,1,1,2,4,3
35,6,1,1,0,1,3,-5,3
29,6,1,0,1,1,1,-17,2
23,6,1,0,1,1,2,-14,1
23,6,1,0,1,1,3,4,1
30,7,1,1,1,1,3,-18,3
22,6,0,1,1,1,0,-12,1
26,6,1,1,1,1,3,-22,2
28,6,1,0,1,1,1,0,2
33,7,1,1,1,1,2,-15,3
21,5,1,1,0,0,4,-7,1
23,6,1,0,1,1,1,-15,1
23,6,1,1,1,1,2,-20,1
23,6,1,1,1,1,0,1,1
27,6,1,1,0,1,0,0,2
19,6,1,1,0,1,0,-12,1
35,7,1,1,1,1,4,-23,3
35,7,0,1,1,1,3,-21,3
27,6,0,1,1,1,1,3,2
29,6,1,0,1,1,3,-11,2
30,7,1,0,1,1,4,-10,3
30,7,1,1,1,1,3,-19,3
25,6,1,1,1,1,1,3,2
35,7,1,1,1,1,1,-12,3
28,7,1,0,1,1,0,-15,2
30,5,0,1,0,0,11,-13,3
29,3,1,1,1,0,3,-15.79310417175293,2
27,7,1,0,1,1,2,-7.79310417175293,2
30,5,1,0,1,0,3,-11.79310417175293,3
33,5,1,0,1,0,2,-17.79310417175293,3
22,8,1,0,0,1,3,-15.79310417175293,1
23,6,0,0,1,1,4,-6.79310417175293,1
32,6,1,1,1,1,3,-11.79310417175293,3
32,6,1,0,1,1,2,-10.79310417175293,3
33,7,1,1,1,1,2,-7.79310417175293,3
27,6,1,0,1,1,2,3.2068958282470703,2
32,5,1,1,1,0,3,-11.79310417175293,3
25,6,1,1,1,1,1,-11.79310417175293,2
20,6,1,1,1,1,2,-10.79310417175293,1
27,3,1,0,1,0,1,-8.79310417175293,2
21,6,0,1,1,1,0,0.2068958282470703,1
24,6,1,1,1,1,1,-13.79310417175293,2
23,8,0,0,1,1,2,-23.79310417175293,1
23,5,1,1,1,0,2,6.20689582824707,1
27,7,1,0,1,1,2,-0.7931041717529297,2
21,3,1,0,1,0,4,-17.79310417175293,1
27,7,0,0,1,1,1,-19.79310417175293,2
31,7,1,1,1,1,5,6.20689582824707,3
31,9,1,0,1,1,1,-10.79310417175293,3
35,6,1,1,1,1,5,-3.7931041717529297,3
26,6,1,1,1,1,1,-7.79310417175293,2
28,6,1,1,1,1,4,1.2068958282470703,2
25,5,0,1,1,0,1,-13.79310417175293,2
20,3,0,1,1,0,1,5.20689582824707,1
21,3,1,0,0,0,0,6.20689582824707,1
34,7,1,0,0,1,0,8.88888931274414,3
22,5,1,1,1,0,2,8.88888931274414,1
33,6,1,1,1,1,3,-0.11111068725585938,3
28,6,1,1,1,1,4,2.8888893127441406,2
31,5,1,1,1,0,2,-15.11111068725586,3
30,7,0,0,1,1,2,-15.11111068725586,3
28,6,0,1,1,1,2,-15.11111068725586,2
35,7,0,1,1,1,2,-11.11111068725586,3
33,7,1,0,1,1,11,-13.11111068725586,3
30,7,1,0,1,1,1,8.88888931274414,3
25,6,1,1,1,1,2,8.88888931274414,2
27,6,0,1,1,1,3,-11.11111068725586,2
34,7,1,0,0,1,2,2.8888893127441406,3
21,5,1,1,1,0,2,0.8888893127441406,1
34,6,1,0,0,1,3,-5.111110687255859,3
30,7,1,1,1,1,2,-17.11111068725586,3
20,5,0,1,1,0,0,-21.11111068725586,1
22,4,0,0,1,0,1,-9.11111068725586,1
30,6,1,0,1,1,1,-16.11111068725586,3
23,6,1,1,1,1,2,8.88888931274414,1
30,7,1,0,1,1,2,-7.111110687255859,3
21,6,1,0,1,1,2,-6.111110687255859,1
28,3,1,0,1,0,5,-7.111110687255859,2
31,6,0,0,1,1,3,-1.1111106872558594,3
21,3,1,1,1,0,0,-5.111110687255859,1
32,7,0,1,1,1,2,0.5,3
26,6,1,0,1,1,1,-3.5,2
33,7,0,1,1,1,3,-4.5,3
25,6,1,0,1,1,1,7.5,2
31,7,1,1,0,1,2,-9.5,3
27,6,1,1,1,1,11,-20.5,2
26,6,1,1,1,1,2,-14.5,2
25,6,1,1,1,1,1,7.5,2
26,6,1,1,1,1,3,7.5,2
27,7,1,0,1,1,3,-12.5,2
21,6,1,1,1,1,3,-17.5,1
25,6,1,0,1,1,0,-6.5,2
26,6,1,1,1,1,0,1.5,2
27,6,1,0,1,1,2,0.5,2
30,7,1,0,1,1,0,-11.5,3
25,6,1,1,1,1,2,3.5,2
30,7,1,1,1,1,3,-8.5,3
32,7,1,0,1,1,2,-0.5,3
30,7,1,0,1,1,0,6.5,3
31,5,1,1,1,0,2,-11.5,3
29,6,0,0,1,1,3,-10.5,2
29,6,0,1,0,1,0,4.5,2
26,6,1,1,1,1,2,6.5,2
29,6,1,1,1,1,1,-1.5,2
32,7,0,1,1,1,1,-13.5,3
30,6,1,0,1,1,3,-1.5,3
